"","RD12951DM","RD12952DM","RD12953DM","RD12954DM","RD12955DM","RD12956DM","RD12957DM","RD12958DM","RD12959DM","RD12960DM","RD12961DM","RD12962DM","RD12963DM","RD12964DM","RD12965DM","RD12966DM","RD12967DM","RD12968DM","RD12969DM","RD12970DM","RD12971DM","RD12972DM","RD12973DM","RD12974DM","RD12975DM","RD12976DM","RD12977DM","RD12978DM","RD12979DM","RD12980DM","RD12981DM","RD12982DM","RD12983DM","RD12984DM","RD12985DM","RD12986DM","RD12987DM","RD12988DM","RD12989DM","RD12990DM","RD12991DM","RD12992DM","RD12993DM","RD12994DM","RD12995DM","RD12996DM","RD12997DM","RD12998DM","RD12999DM","RD13000DM","RD13001DM","RD13002DM","RD13003DM","RD13004DM","RD13005DM","RD13006DM","RD13007DM","RD13008DM","RD13009DM","RD13010DM","RD13011DM","RD13012DM","RD13013DM","RD13014DM","RD13015DM","RD13016DM","RD13017DM","RD13018DM","RD13019DM","RD13020DM","RD13021DM","RD13022DM","RD13023DM","RD13024DM","RD13025DM","RD13026DM","RD13027DM","RD13028DM","RD13029DM","RD13030DM","RD13031DM","RD13032DM","RD13033DM","RD13034DM","RD13035DM","RD13036DM","RD13037DM","RD13038DM","RD13039DM","RD13040DM","RD13041DM","RD13042DM"
Jun08,103680.397127,31792.274813,n.d.,25618.588763,28.958742,0,7899.22319,2065.973273,222.1512,901.2418,739.089595,236.846404,3406.787793,16675.740741,1681.80077,173.56122,12238.158823,3279.69745,3279.69745,582190.2784,582190.2784,1396.886406,668.9602,73.211319,0,334.911887,319.803,14463309.362349,974826.148595,37084.0275,1353742.323682,360527.548266,4700450.56158,95309.937,109109.723055,0,265811.47419,4355435.519371,0,41589.36,1339985.13913,368502.7974,189323.42998,266720.943,4890.4296,299665.10094,49207.016279,5243.853237,25794.053181,9889.173391,8687.86069,2126.744795,12402.211418,3829.638795,4962.541148,38966.655392,6729.811134,22967.630962,9440.382294,90649.93118,4707.593383,4060.003661,28559.051971,2774.987293,705.259642,707.077953,0,0,994.963711,1035.50348,750.7944,4082.012345,250.281669,4042.958558,13063.007135,152.205785,0,0,142228.56391,45292.348333,1058.938558,1788.950519,0,0,1075.731109,1740.9224,7452.6048,21435.395072,776.912229,23823.090205,37581.864507,201.806178
Jul08,109212.705992,31995.361823,n.d.,28510.332094,27.477926,0,8662.5237,1880.980082,196.082903,1064.45568,871.176838,245.313142,3441.969661,16953.843961,1836.820821,181.259125,13345.108236,3322.208291,3322.208291,275846.688,275846.688,1743.480775,768.9087,172.9134,0,249.3837,552.274975,14385960.127351,852127.708,27495.8408,1130182.428552,362978.688292,4443109.244908,83603.6,109662.539315,0,274351.689079,4852621.361045,0,42564.488,1370052.389099,410843.6858,149755.105461,271267.09,5344.269,308005.512192,43743.822725,3843.483947,28277.2146,13833.989999,9794.32039,2094.129547,12109.134401,3221.169871,5691.846601,41695.864596,7026.135812,22574.343634,9704.363655,95306.71004,4233.393192,4855.589182,29621.304003,2241.358781,692.580405,511.071691,0,0,1103.994744,883.520154,866.70427,3989.769546,297.333663,4079.924996,14824.522528,130.523225,0,0,134588.284791,35847.325953,1144.632207,1755.237439,0,0,1150.813838,1595.241744,6739.87462,21825.348208,771.168287,24352.789492,39239.292313,166.56069
Ago08,108199.641376,28907.573578,n.d.,29073.987208,37.642881,0,10741.2475,2030.184202,295.5786,685.8254,1093.108392,225.544294,3767.5132,17439.816272,1554.05646,195.875096,12151.688293,3186.667398,3186.667398,487854.833,487854.833,1295.241916,305.4128,151.75032,0,404.926328,433.152468,15664995.631786,801714.0642,42171.7223,1435945.672041,338587.143,4867346.3979,135060.97,115944.326984,0,185167.891792,5188807.898823,0,51163.51,1611359.860327,383528.4231,209064.422589,294736.62993,4396.6988,324018.219058,50203.416633,5997.32064,33442.771103,11693.786359,11841.118353,2931.346697,12457.974262,4661.988668,4427.894715,42931.2925,7025.811509,22135.824813,10413.312866,94998.600423,4739.341533,4116.417984,30002.842015,2858.570004,803.885922,539.45408,0,0,1195.424023,1228.2788,812.6999,4333.949957,322.220055,3850.626806,13907.605153,150.127315,0,0,148845.634356,54908.165278,1114.292721,1724.663538,0,0,1231.973701,2393.9254,6473.35652,21447.243411,873.328081,23420.857622,35079.416005,178.412079
Sep08,104830.843754,31176.439148,n.d.,23775.545597,30.918013,635.74935,11292.20505,2018.707203,275.56814,648.8634,841.480139,194.108325,3727.361751,17134.130084,1565.333047,187.675584,11326.758923,3237.368216,3237.368216,395186.148,395186.148,1575.87446,447.9948,122.496894,0,436.116462,569.266304,16022982.489717,726539.861626,25198.51096,1398531.557278,386390.661267,4725311.658,125578.08,120479.846988,0,141974.973547,5963944.105291,0,49152.038,1539351.686996,390401.6402,149548.10013,275409.422234,5170.3472,311094.04031,43622.563077,3145.17291,35233.946237,7477.173324,11803.704856,3505.179084,13195.557641,4320.558908,4505.109666,43786.17662,6300.307662,23041.280305,10687.836458,92190.267487,4623.077868,3656.128207,30151.810599,2069.277028,961.719874,685.172112,0,0,1159.43138,1203.23636,679.92803,3986.323736,270.855243,4731.718536,14253.9878,150.1605,0,0,129382.847387,34280.819702,1215.93653,1861.242542,0,0,1145.268844,2378.23872,6419.28213,22017.924581,773.149542,22769.586995,36328.804101,192.5937
Oct08,106881.397068,28595.992964,n.d.,25996.467212,44.029544,2241.534216,11025.32954,1773.176805,255.74046,783.79952,849.914614,203.553616,3701.638301,17967.879946,1680.516501,265.186839,11496.63699,3353.466663,3353.466663,462687.981,462687.981,1173.034319,228.0844,172.328394,0,522.41085,250.210675,15693784.163756,869847.97014,27786.1448,1422245.274387,433162.804033,5172321.449968,126915.475,123575.245586,0,128129.244963,4927153.018462,0,53939.858,1590106.092527,412764.5478,155228.66926,245451.01843,5157.3504,312569.461417,41569.173953,4094.769117,35103.426581,18739.617914,17006.353091,3551.076759,13065.895608,4407.552502,4484.184706,41162.018979,5951.567655,26568.919164,11006.628503,78411.302371,4109.473927,3337.500587,29794.386439,2400.108377,893.03435,509.781268,0,0,1274.177802,1289.06191,686.31882,3694.125698,317.465719,5444.202076,13139.997619,146.1128,0,0,139150.512371,40081.120377,1194.52528,1889.179014,0,0,1354.28266,2256.18255,6955.55465,22361.381031,822.742021,24173.233018,37878.06097,184.2508
Nov08,116026.645864,34550.27499,n.d.,26934.169693,55.212699,2443.155,11050.3527,1764.947519,217.12046,850.2406,885.303542,197.644158,3220.752817,18029.933219,1751.854936,179.189458,13896.494073,3261.552256,3261.552256,345686.504,345686.504,1619.208636,483.7086,304.536768,0,510.555696,320.407572,15960374.018934,917397.8163,5808.54,1363573.766676,428012.348313,4613377.270003,138960.108,115351.260166,0,121168.138464,5845606.234724,0,54395.915,1559974.815826,407249.86,199972.13354,182300.613722,7225.1982,331270.444488,42461.472287,71.507137,46670.261513,24431.021861,11023.155917,2805.388529,12875.413823,5106.286247,4220.852056,41071.118748,6052.883647,22528.256915,10711.696615,93455.468242,3533.169094,4252.491857,29201.874591,1575.333464,1189.444492,430.254955,0,0,1158.29477,1663.50834,782.0801,3283.150128,295.837627,4673.720596,14019.479749,130.77037,0,0,123154.703851,25646.132125,1418.871371,1680.54084,0,0,1217.474603,2522.12546,6830.632,21231.239777,860.957231,22902.53037,38691.009824,153.19025
Dic08,116573.740594,29710.493356,n.d.,29558.510757,64.131678,2354.1,13160.3748,1606.53909,252.82385,972.79208,1000.68284,214.457645,3351.323202,18326.434028,1805.071086,188.163665,14007.842517,3156.242381,3156.242381,436496.808,436496.808,1178.907609,370.8192,256.456596,0,303.845295,247.786518,14927757.950192,1255123.078651,2033.8758,1464279.10106,497752.736908,4192884.057789,149970.468,109005.62675,0,138319.79734,4561883.093781,0,52390.153,1486585.329703,523805.2484,205632.11766,281288.66005,6804.6053,356331.274124,43733.918626,448.355632,55162.522311,23319.128203,9027.687816,3764.139091,13023.541426,4853.037996,4757.853477,50604.734988,6532.913765,22574.089537,11260.219586,98881.395032,4037.418367,4350.318271,30540.036804,2674.702811,1016.006518,430.621128,0,0,1124.869451,1533.0452,934.43353,3797.491298,291.228226,4509.383867,14061.922775,166.332,0,0,145355.758341,44789.476308,1309.870364,2068.236059,0,0,1162.209768,2482.87502,7504.84872,22679.999587,829.660006,23181.981155,39141.481354,205.12
Ene09,106807.697249,30150.364557,n.d.,26560.37668,62.139709,2549.522,8386.13267,1573.790089,168.522069,1078.47967,1061.810018,208.949191,3363.574791,17334.961421,1602.161576,167.171347,12539.741461,3135.328066,3135.328066,336253.057,336253.057,1474.694061,469.514,233.960265,0,552.306625,218.913171,13901020.317887,794522.86094,37270.6248,1292497.918447,415354.408327,5072864.203343,92669.2,94520.821479,0,88279.136176,3911893.096099,0,49054.373,1277933.107147,299668.9743,200858.50591,266440.297919,7192.79,304321.173937,45853.586513,6934.753281,33281.481876,9071.746706,11060.232339,1892.260949,13461.760131,2939.700976,4619.96979,46000.907157,6094.065949,20442.519633,10163.940691,84191.023982,4293.532343,4019.691621,27206.315265,2786.782721,1018.81708,522.787994,0,0,1228.716708,921.350571,972.9109,3504.868548,325.634773,4278.200415,11395.695395,250.55016,68.972456,68.972456,136758.031977,43195.219894,1343.419196,2409.405074,0,0,1273.018923,1358.75403,6771.10989,22759.757293,920.597928,21794.727842,34692.053417,239.96849
Feb09,97684.915651,25691.199732,n.d.,25487.717221,49.518653,3205.44479,6374.80664,1487.382832,89.06996,799.33372,907.763177,156.574106,2998.819591,16948.886142,1463.526207,158.836294,11866.036586,2857.027927,2857.027927,324821.7,324821.7,849.163199,222.4744,210.110433,0,316.368936,100.20943,14081583.162286,693945.50125,12176.5528,1252944.922899,358897.498386,5475443.894582,76275.26,93961.264588,0,68980.668495,3861879.433659,0,51427.118,1184042.391673,458823.389324,198491.92551,286940.32132,7353.0198,307034.354705,43575.573938,2712.368611,38482.499488,18182.685643,7344.706539,1667.51121,12652.903301,912.165364,3371.345432,42657.210669,5410.379025,18726.085855,10936.61608,92390.988047,3869.666533,4141.64897,24235.940861,2528.463861,1018.609066,374.353748,0,0,1166.247537,273.98676,781.071017,3218.411047,341.721497,3036.240909,11227.463279,269.37214,49.908936,49.908936,113833.74975,33717.024897,1301.009115,1934.906917,0,0,1148.665256,336.32673,6389.406178,19991.046869,981.670337,15941.639255,31906.833509,185.220687
Mar09,104462.137973,29358.068156,n.d.,25999.841796,92.550763,2590.5215,7390.48795,1498.031172,75.10512,921.179168,1084.991571,168.819021,3042.581022,16887.565252,1951.068107,119.326915,13282.00046,3022.84773,3022.84773,350826.558,350826.558,909.654217,249.8524,153.313833,0,317.723904,188.76408,15796971.515392,693068.7619,13195.4031,1625616.941462,424682.135821,6013370.984952,104971.805,91897.799145,0,72965.037824,4352379.070747,0,52455.697,1506772.388469,431163.960112,182132.7179,222565.64446,9733.1675,326932.971565,49694.995746,2880.513634,45442.977525,19451.449677,8079.860886,2108.545995,11677.070537,1633.911186,3960.1399,42441.892422,6343.517142,20998.119459,10808.805723,93092.758454,4193.826748,4124.586531,25434.550761,3678.432622,1108.376843,430.032402,0,0,1169.44216,528.99987,850.7912,3128.390717,306.16519,3175.643122,10813.917895,244.35874,37.13584,37.13584,118852.025301,41245.712698,1454.832952,1989.560997,0,0,1203.769015,870.2574,7428.990338,22446.003423,1004.318043,7416.068148,33583.780417,208.73187
Abr09,103029.252145,28889.374056,n.d.,26485.93126,73.040455,2717.793,7435.6448,1620.700199,181.67582,1130.441596,717.291735,169.883691,2707.200907,16759.479798,1622.292782,0,12518.502046,3201.412521,3201.412521,363701.774,363701.774,755.117593,78.5785,2.30808,0,285.839232,388.391781,15678057.108965,706839.81062,11700.048,1560066.677787,403467.449007,6199732.532057,71233.2,92275.89152,0,59369.787139,4065944.324045,0,43692.959,1528128.754288,479804.005272,183246.82836,265354.86377,7199.9781,319257.252445,52404.075445,2596.586336,48274.991046,22283.344761,8183.264192,1860.983273,11860.712141,2651.820765,2909.275631,39594.761236,6210.671351,19171.319331,12838.174458,80448.871627,4159.807174,3808.593678,24559.500799,3266.022015,1109.911176,404.064649,0,0,1398.338876,935.02881,516.619767,2983.924687,317.161998,3179.367845,10279.371176,169.6898,45.85504,45.85504,122543.249194,47213.474494,1376.906105,1959.347436,0,0,1368.150156,1050.76577,7756.864392,19281.940832,1015.316787,6964.048426,34386.992496,169.4423
May09,108076.880893,31075.47704,n.d.,27294.948687,80.88392,3956.9481,7696.89968,1778.089801,306.040741,1087.41418,1034.566367,177.533547,3238.511037,14891.990517,1634.061192,0,13823.516084,3066.152122,3066.152122,434385.77,434385.77,851.031414,309.9355,0,0,307.638324,233.45759,15743022.393002,713014.3977,20201.84,1514178.929549,340887.107491,6032247.792697,66600.96,109049.864845,0,86150.54487,4443002.830321,0,49774.247,1439995.86028,450087.746786,201909.32861,267379.955453,8540.9874,331719.996956,55229.410288,4484.700507,44785.659212,17184.209047,7722.951585,1924.862517,12525.820656,4215.650075,3625.45498,45261.561373,6526.446871,21055.490114,13050.156562,85037.248469,3806.121022,5284.253678,25932.824031,3080.90206,1230.229102,430.32685,0,0,1175.664979,1401.167084,637.64705,3047.458218,307.288657,3454.222486,10975.932545,191.985,54.176577,54.176577,122492.158966,44312.727841,1664.276228,2180.780947,0,0,1135.849234,1821.825101,7629.29937,20475.505503,1027.277121,6796.574397,35250.584824,197.4584
Jun09,107678.545493,30353.649495,n.d.,25469.424085,70.346944,3061.04448,9400.23095,1677.553716,285.76325,1585.454931,998.77436,179.606326,3109.891491,16218.149041,1671.043615,0,13597.612809,3203.060986,3203.060986,398085.4625,398085.4625,791.109046,103.6798,0,0,431.208822,256.220424,14784530.257775,696555.77422,0,1082144.065056,360765.657619,5061213.238586,111203.9,102053.7045,0,75816.317187,4743666.294715,0,54684.936,1559149.353361,460395.215336,194742.52035,274526.560845,7612.72,327145.65733,57865.361331,0,49306.4503,25322.76777,6896.502255,2319.490147,13743.422029,3600.202737,4622.747447,38835.04557,6631.186867,22031.534016,12266.961743,74872.541699,3872.362342,4959.081077,25203.778986,3380.013034,1267.209832,484.06379,0,0,1185.126406,1384.5303,642.39042,2728.746134,313.483014,3485.854905,10201.072107,131.289044,49.314825,49.314825,119688.210549,42529.054309,1659.736185,2134.731931,0,0,1116.971984,1754.43625,7143.82528,20609.94454,991.838272,7478.370615,34157.657751,111.643432
